Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\pylon1_gt.ply
Extracted Edges File,analysis\data\pylon1\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
121,4,4,0.084884,0.014179,7.901584,5.535601
122,5,5,0.062623,0.022158,10.148269,4.374011
123,10,10,0.043815,0.024676,13.637735,5.365308
124,0,0,N/A,N/A,N/A,N/A
125,1,1,0.047121,N/A,8.313999,N/A
126,24,24,0.047131,0.025359,10.846107,5.683062
127,9,9,0.061603,0.028099,13.090845,4.879686
128,0,0,N/A,N/A,N/A,N/A
129,0,0,N/A,N/A,N/A,N/A
130,13,13,0.072217,0.021263,12.498941,3.745888
131,0,0,N/A,N/A,N/A,N/A
132,1,1,0.098804,N/A,13.639728,N/A
133,5,5,0.049803,0.016594,7.338609,5.520710
134,5,5,0.074787,0.012947,9.171913,2.690650
135,12,12,0.048805,0.028862,13.510666,4.299495
136,6,6,0.057905,0.012040,11.387351,1.248155
137,0,0,N/A,N/A,N/A,N/A
138,1,1,0.075345,N/A,5.492801,N/A
139,5,5,0.050574,0.026592,7.789856,2.801131
140,9,9,0.055942,0.012527,8.277389,5.648133
141,8,8,0.051893,0.019421,8.942843,6.038463
142,5,5,0.045953,0.023652,6.723621,1.458858
143,1,1,0.089924,N/A,10.323699,N/A
144,0,0,N/A,N/A,N/A,N/A
145,1,1,0.090810,N/A,2.932381,N/A
146,1,1,0.062171,N/A,5.020449,N/A
147,5,5,0.067343,0.014467,10.970045,4.261988
148,1,1,0.093836,N/A,4.448625,N/A
149,0,0,N/A,N/A,N/A,N/A
150,1,1,0.093342,N/A,16.630154,N/A
151,6,6,0.069168,0.025588,9.751888,4.129973
152,0,0,N/A,N/A,N/A,N/A
153,2,2,0.054170,0.011595,12.122819,0.728439
154,0,0,N/A,N/A,N/A,N/A
155,0,0,N/A,N/A,N/A,N/A
156,6,6,0.071745,0.014717,11.524411,5.156515
157,5,5,0.075451,0.015295,9.671199,5.466153
158,17,17,0.059273,0.026843,13.206527,4.855614
159,2,2,0.075618,0.005199,12.459665,2.494172
160,6,6,0.060338,0.024956,8.516205,2.804145
161,15,15,0.069987,0.022965,10.436701,4.472598
162,19,19,0.066768,0.023314,9.197450,3.916500
163,5,5,0.078332,0.012702,10.682916,5.254175
164,20,20,0.070616,0.018388,12.402111,3.992171
165,0,0,N/A,N/A,N/A,N/A
166,16,16,0.056047,0.025967,10.450415,5.375138
167,12,12,0.045280,0.030325,7.678503,3.242040
168,3,3,0.048906,0.033653,7.862092,3.454714
169,13,13,0.069786,0.024765,11.479318,3.861865
170,0,0,N/A,N/A,N/A,N/A
171,8,8,0.052657,0.021635,9.745213,3.944025
172,18,18,0.060489,0.025268,9.033932,5.399450
173,11,11,0.043153,0.019698,9.890064,4.383684
174,21,21,0.073287,0.022212,10.918291,5.137203
175,6,6,0.078500,0.011643,9.792681,3.920811
176,5,5,0.075986,0.018152,10.748397,3.270218
177,3,3,0.049663,0.029006,11.281640,5.768900
178,7,7,0.060044,0.026514,13.315679,4.177900
179,10,10,0.052144,0.020171,12.311112,6.200494
180,4,4,0.064450,0.017520,5.669788,3.206015
181,6,6,0.068404,0.023542,9.851311,5.427363
182,5,5,0.061830,0.009647,6.909651,4.493976
183,8,8,0.064194,0.022062,5.550095,2.678249
184,2,2,0.070839,0.025959,6.487069,1.936378
185,2,2,0.085468,0.000160,16.852714,1.043011
186,2,2,0.063531,0.012451,4.551873,1.110581
187,18,18,0.056691,0.022128,10.817359,4.244756
188,0,0,N/A,N/A,N/A,N/A
189,6,6,0.051268,0.021535,9.194515,4.444012
190,12,12,0.069159,0.026208,10.891735,3.567753
191,5,5,0.052685,0.034399,8.104784,1.555209
192,0,0,N/A,N/A,N/A,N/A
193,0,0,N/A,N/A,N/A,N/A
194,3,3,0.068174,0.030561,10.454046,4.649672
195,3,3,0.057332,0.010731,13.222681,1.919205
196,0,0,N/A,N/A,N/A,N/A
197,7,7,0.068791,0.023024,12.813610,4.321885
198,1,1,0.083049,N/A,12.619392,N/A
199,2,2,0.088898,0.003553,8.281876,2.467020
200,1,1,0.099588,N/A,3.235604,N/A
201,1,1,0.056467,N/A,9.614511,N/A
202,0,0,N/A,N/A,N/A,N/A
203,0,0,N/A,N/A,N/A,N/A
204,0,0,N/A,N/A,N/A,N/A
205,0,0,N/A,N/A,N/A,N/A
206,0,0,N/A,N/A,N/A,N/A
207,0,0,N/A,N/A,N/A,N/A
208,0,0,N/A,N/A,N/A,N/A
209,0,0,N/A,N/A,N/A,N/A
210,0,0,N/A,N/A,N/A,N/A
211,0,0,N/A,N/A,N/A,N/A
212,2,2,0.024062,0.006702,6.733845,0.695415
