Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\pylon1_gt.ply
Extracted Edges File,analysis\data\pylon1\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
530,15,15,0.051804,0.021299,11.160192,5.155582
531,3,3,0.068308,0.017623,11.061914,4.859527
532,5,5,0.077539,0.011715,8.034972,6.773653
533,12,12,0.068364,0.018516,9.459794,2.423305
534,3,3,0.089683,0.006785,9.083152,6.938638
535,3,3,0.058894,0.020305,10.562735,1.824652
536,9,9,0.043280,0.028055,8.475420,4.274989
537,1,1,0.081219,N/A,13.444035,N/A
538,6,6,0.044313,0.020265,8.303632,5.419839
539,9,9,0.062320,0.022259,6.689394,3.904908
540,21,21,0.051432,0.021400,11.190194,4.188498
541,14,14,0.052352,0.021455,5.027783,1.974858
542,42,42,0.058431,0.025125,8.733500,4.802612
543,1,1,0.029572,N/A,6.712673,N/A
544,25,25,0.059384,0.027970,12.026322,5.165717
545,17,17,0.062618,0.026994,10.615448,4.866035
546,3,3,0.079419,0.012372,10.509234,2.690441
547,10,10,0.071723,0.015260,11.217092,5.694958
548,5,5,0.062456,0.026495,10.952760,5.549401
549,9,9,0.057558,0.019945,7.933015,5.189961
550,25,25,0.049926,0.018258,8.038486,3.999789
551,6,6,0.061060,0.034624,16.551986,2.597949
552,19,19,0.065631,0.017553,10.318997,4.662282
553,12,12,0.055166,0.030626,9.641618,5.221382
554,11,11,0.066967,0.025499,10.942033,5.853649
555,5,5,0.057904,0.025280,8.108405,4.969074
556,26,26,0.075925,0.020729,10.500819,3.812148
557,19,19,0.066853,0.028070,9.340353,5.511441
558,71,71,0.057146,0.023758,9.747114,4.819551
559,80,80,0.062930,0.022679,13.029980,4.022321
560,59,59,0.058330,0.026102,11.408632,4.878447
561,44,44,0.051433,0.023493,11.621789,5.317420
562,57,57,0.058455,0.024654,12.219224,4.561125
563,59,59,0.056925,0.021600,8.067884,4.855263
564,36,36,0.060915,0.025156,12.105755,4.882969
565,42,42,0.058739,0.026601,9.737502,5.509918
566,3,3,0.053894,0.023490,8.135115,3.038353
567,6,6,0.060210,0.029914,13.638179,4.836627
568,17,17,0.075361,0.019716,9.298208,4.333702
569,120,120,0.054625,0.021726,7.650709,5.163528
570,7,7,0.045299,0.025291,11.009506,3.152627
571,65,65,0.060740,0.022265,8.895731,4.860004
572,39,39,0.063808,0.025681,12.754304,5.107569
573,134,134,0.057701,0.023378,9.027601,4.764724
574,3,3,0.089463,0.004206,13.622363,4.223511
575,12,12,0.046557,0.031902,9.666885,5.154961
576,44,44,0.061746,0.023601,13.183042,3.774595
577,45,45,0.059968,0.026131,9.782070,5.577579
578,16,16,0.070456,0.022208,11.579615,4.974007
579,2,2,0.057116,0.031996,10.989642,6.398941
580,9,9,0.059117,0.021416,10.822134,3.133540
581,8,8,0.068294,0.023067,12.000747,4.484584
582,7,7,0.060656,0.017644,10.964658,3.807436
583,71,71,0.055444,0.025577,9.202407,4.860629
584,5,5,0.050759,0.005029,10.363001,3.709665
585,53,53,0.062984,0.021542,8.275415,5.244962
586,33,33,0.070923,0.018623,12.147300,4.282390
587,38,38,0.058272,0.026822,7.500941,5.082113
588,8,8,0.075636,0.017906,12.120665,6.896197
589,1,1,0.011427,N/A,14.075281,N/A
590,34,34,0.065105,0.023778,13.367302,4.721223
591,34,34,0.057991,0.023027,9.658354,4.782887
592,0,0,N/A,N/A,N/A,N/A
593,3,3,0.068510,0.012912,5.194657,2.818954
594,9,9,0.042310,0.025166,6.986792,5.671353
595,7,7,0.053716,0.024952,4.210284,1.572426
596,1,1,0.017499,N/A,6.984027,N/A
597,0,0,N/A,N/A,N/A,N/A
598,2,2,0.078317,0.005316,7.133433,6.725738
599,0,0,N/A,N/A,N/A,N/A
600,0,0,N/A,N/A,N/A,N/A
601,3,3,0.044194,0.006322,16.728814,1.832774
602,0,0,N/A,N/A,N/A,N/A
603,5,5,0.048487,0.022377,11.274787,5.330324
604,3,3,0.063984,0.022639,12.383847,4.696900
605,4,4,0.079196,0.017659,10.799452,4.376427
606,0,0,N/A,N/A,N/A,N/A
607,0,0,N/A,N/A,N/A,N/A
608,3,3,0.070422,0.006803,13.326552,3.570350
609,4,4,0.053419,0.029509,13.389342,3.974114
610,1,1,0.047447,N/A,10.184023,N/A
611,0,0,N/A,N/A,N/A,N/A
612,0,0,N/A,N/A,N/A,N/A
613,1,1,0.071594,N/A,13.042904,N/A
614,2,2,0.050465,0.002688,8.547739,1.733055
615,0,0,N/A,N/A,N/A,N/A
616,11,11,0.064914,0.029296,13.399371,4.374296
617,3,3,0.073340,0.019450,11.947665,5.830804
618,4,4,0.059307,0.024217,13.157862,6.633584
619,0,0,N/A,N/A,N/A,N/A
620,9,9,0.065866,0.027745,10.542668,4.601653
621,4,4,0.059370,0.033183,9.262533,4.896350
622,3,3,0.059176,0.019668,6.808611,4.622034
623,1,1,0.091028,N/A,11.218700,N/A
624,2,2,0.059829,0.035098,11.597572,0.635543
625,0,0,N/A,N/A,N/A,N/A
626,0,0,N/A,N/A,N/A,N/A
627,0,0,N/A,N/A,N/A,N/A
628,3,3,0.072107,0.019914,9.981667,6.311477
629,0,0,N/A,N/A,N/A,N/A
630,3,3,0.057199,0.021985,16.407390,2.994464
631,6,6,0.066917,0.024804,12.720920,4.763725
632,7,7,0.070235,0.019041,10.996089,4.080165
633,0,0,N/A,N/A,N/A,N/A
634,1,1,0.077534,N/A,19.164259,N/A
635,0,0,N/A,N/A,N/A,N/A
636,1,1,0.029112,N/A,13.952842,N/A
637,1,1,0.078799,N/A,13.569722,N/A
638,0,0,N/A,N/A,N/A,N/A
639,6,6,0.063564,0.011070,3.015963,0.610524
640,0,0,N/A,N/A,N/A,N/A
641,0,0,N/A,N/A,N/A,N/A
642,2,2,0.069825,0.003245,8.803626,4.921227
643,2,2,0.081572,0.009399,18.630602,0.756906
644,2,2,0.083470,0.015615,5.475478,4.719052
645,5,5,0.060361,0.027119,10.077075,2.222794
646,0,0,N/A,N/A,N/A,N/A
647,4,4,0.082925,0.015869,11.303096,3.506585
648,3,3,0.040286,0.018382,12.667350,1.958643
649,1,1,0.056693,N/A,16.438529,N/A
650,1,1,0.035307,N/A,8.240381,N/A
651,2,2,0.050958,0.018419,9.679536,6.718901
652,6,6,0.064710,0.025643,13.702523,6.424706
653,9,9,0.080763,0.013864,5.374517,3.730267
654,0,0,N/A,N/A,N/A,N/A
655,1,1,0.032562,N/A,7.970979,N/A
656,0,0,N/A,N/A,N/A,N/A
657,0,0,N/A,N/A,N/A,N/A
658,3,3,0.090507,0.008949,13.606621,3.068615
659,9,9,0.055078,0.021191,8.130527,4.211195
660,5,5,0.081767,0.020737,11.572582,4.313362
661,5,5,0.055780,0.026571,7.944872,2.646705
662,0,0,N/A,N/A,N/A,N/A
663,2,2,0.079320,0.005930,8.348353,3.250031
664,0,0,N/A,N/A,N/A,N/A
665,1,1,0.089289,N/A,5.317706,N/A
666,1,1,0.096449,N/A,3.417992,N/A
667,12,12,0.073085,0.016972,10.162537,5.706685
668,1,1,0.067851,N/A,3.499831,N/A
669,4,4,0.088640,0.011983,17.693983,0.925397
670,21,21,0.061091,0.021031,9.764436,5.041178
671,0,0,N/A,N/A,N/A,N/A
672,38,38,0.068246,0.023072,9.231840,5.570304
673,7,7,0.047780,0.020536,5.311228,2.483108
674,12,12,0.078521,0.024576,9.786448,4.140401
675,9,9,0.079034,0.011504,8.946463,6.857537
676,31,31,0.052044,0.026130,9.316892,4.837852
677,19,19,0.063056,0.020346,8.568151,4.845035

Summary,,,,,,
Total Edges Within Distance Threshold,6743,,,,,
Total Edges Within Angle Threshold,6743,,,,,
Avg Edges Within Distance Threshold Per GT Edge,9.945428,,,,,
Avg Edges Within Angle Threshold Per GT Edge,9.945428,,,,,
Average of All Avg Distances,0.064765,,,,,
Average of All Std Distances,0.019715,,,,,
Average of All Avg Angles,10.146445,,,,,
Average of All Std Angles,4.037233,,,,,
